Name,PEST00,PEST06,PEST08,PEST08_C6,Proposed_C6
Fenvalerate,,X,X,X,X
Ferimzone,,,X,,
Fipronil,X,X,X,X,X
Fipronil sulfide,,,X,X,
Fipronil sulphone,,,X,X,
Flamprop,,,X,,
Flamprop-methyl,,,X,,
Flazasulfuron,,,X,,
Fluacrypyrim,,,X,,
Fluazifop-p-butyl,,,X,,
Fluazinam,,,X,,
Flubendazole,,,X,,
Flubendiamide,,,X,X,
Flucythrinate,,,X,,
Fludioxonil,,X,X,X,X
Flufenacet,,,X,,
Flumiclorac-pentyl,,,X,,
Flumioxazin,,,X,,
Fluometuron,,,X,,
Fluopicolide,,,X,,
Fluopyram,,,X,,
Fluquinconazole,,,X,,
Fluridone,,,X,,
Flusilazole,,X,X,X,X
Fluthiacet-methyl,,,X,,
Flutolanil,,,X,,
Flutriafol,,,X,,
Fluvalinate,,,X,X,X
Fluvalinate-tau,,X,,,X
Folpet,,,X,,
Fonofos,,,X,,
Forchlorfenuron,,,X,,
Formetanate hydrochloride,,,X,,
Fosthiazate,,,X,,
Fuberidazole,,,X,,
Furalaxyl,,,X,,
Furametpyr,,,X,,
Furathiocarb,,,X,,
Halosulfuron-methyl,,,X,,
Haloxyfop-etotyl,,,X,,
Haloxyfop-methyl,,,X,,
HCH,,X,,,X
HCH-alpha,,,X,X,X
HCH-beta,,,X,X,X
HCH-delta,,,X,X,X
HCH-gamma (Lindane),,X,X,X,X
Heptachlor,,X,X,X,X
Heptachlor endo-epoxide,,,X,X,
Heptachlor Epoxide,X,,,,X
Heptachlor exo-epoxide,,,X,X,
Heptenophos,,,X,,
Hexachlorobenzene,,X,X,X,X
Hexaconazole,,X,X,X,X
Hexaflumuron,,,X,,
Hexazinone,,,X,,
Hexythiazox,,X,X,X,X
Imazalil,,X,X,X,X
Imazamethabenz-methyl,,,X,,
Imazilil,X,,,,
Imazosulfuron,,,X,,
Imidacloprid,,,X,X,X
Imidacloprid olefin,,,X,X,
Inabenfide,,,X,,
Indanofan,,,X,,
Indoxacarb,,X,X,X,X
Iodfenphos,,,X,,
Iodosulfuron-methyl,,,X,,
Iprobenfos,,,X,,
Iprodione,,X,X,X,X
Iprovalicarb,,,X,,
Isazofos,,,X,,
Isofenphos,,,X,,
Isofenphos-methyl,,,X,,
Isoprocarb,,,X,,
Isoprothiolane,,,X,,
Isoproturon,,,X,,
Isopyrazam,,,X,,
Isoxathion,,,X,,
Karbutilate,,,X,,
Kresoxim-methyl,,X,X,X,X
Lactofen,,,X,,
Lenacil,,,X,,
Leptophos,,,X,,
Linuron,,X,X,X,X
Lufenuron,,,X,,
Malathion,X,X,X,X,X
Mandipropamid,,,X,,
Mefenacet,,,X,,
Mefenpyr-diethyl,,,X,,
Mepanipyrim,,,X,,
Mepronil,,,X,,
Mesotrione,,,X,,
Metalaxyl,X,X,X,X,X
Metamitron,,,X,,
Metconazole,,,X,,
Methabenzthiazuron,,,X,X,X
Methacrifos,,,X,X,X
Metham-sodium,,X,X,X,X
Methidathion,X,X,X,X,X
Methiocarb,,,X,,
Methiocarb sulfone,,,X,,
Methiocarb sulfoxide,,,X,,
Methomyl,,X,X,X,X
Methomyl oxime,,,,,X
Methoxychlor,,,X,,
Methoxyfenozide,,,X,,
Methyl parathion,X,,,,
Metobromuron,,,X,,
Metolachlor,,,X,,
Metosulam,,,X,,
Metrafenone,,,X,,
Metribuzin,,,X,X,X
Metsulfuron-methyl,,,X,,
Mevinphos,,X,X,X,X
Milbemycin A3,,,X,,
Milbemycin A4,,,X,,
Mirex,,,X,,
Molinate,,,X,,
Monocrotophos,X,X,X,X,X
Monolinuron,,,X,,
Myclobutanil,,X,X,X,X
Napropamide,,,X,,
Nicotine,,,X,,
Nitrofen,,,X,,
Nitrothal-isopropyl,,,X,,
Norflurazon,,,X,,
Novaluron,,,X,,
Octhilinone,,,X,,
Omethoate,X,,X,X,X
Oryzalin,,,X,,
Oxabetrinil,,,X,,
Oxadiazon,,,X,,
Oxadixyl,,,X,,
Oxamyl,,,X,,
Oxycarboxin,,,X,,
Oxyfluorfen,X,X,X,X,X
Paclobutrazol,,X,X,X,X
Parathion,X,,X,X,X
Parathion-ethyl,,X,,,
Parathion-methyl,,X,X,X,X
Penconazole,,X,X,X,X
Pencycuron,,,X,,
Pendimethalin,,X,X,X,X
Pentachlorobenzene,,,X,,
Penthiopyrad,,,X,,
Permethrin,X,X,X,X,X
Phenmedipham,,,X,,
Phenothrin,,X,,,X
Phenthoate,,,X,,
Phorate,X,X,X,X,X
Phoratesulfone,,,X,X,
Phoratesulfoxide,,,X,X,
Phosalone,,,X,,
Phosmet,X,X,X,X,X
Phosphamidon,,,X,,
Phoxim,,,X,,
Picolinafen,,,X,,
Piperonyl butoxide,X,X,X,X,X
Piperophos,,,X,,
Pirimicarb,X,X,X,X,X
Pirimiphos-methyl,X,X,X,X,X
Pretilachlor,,,X,,
Prochloraz,,,X,X,X
Procymidone,X,X,X,X,X
Profenofos,,X,X,X,X
Promecarb,,,X,,
Prometryn,,,X,,
Propachlor,,,X,,
Propamocarb,,,X,,
Propanil,,,X,,
Propaphos,,,X,,
Propaquizafop,,,X,,
Propargite,,X,X,X,X
Propazine,,,X,,
Propetamphos,,,X,,
Propham,,,X,,
Propiconazole,,X,X,X,X
Propoxur,,,X,,
Propyzamide,,,X,,
Proquinazid,,,X,,
Prosulfocarb,,,X,,
Prothiofos,,X,X,X,X
Prothiophos,X,,,,
Pymetrozine,,X,X,X,X
Pyraclofos,,,X,,
Pyraclostrobin,,X,X,X,X
Pyraflufen-ethyl,,,X,,
Pyrasulfotole,,,X,,
Pyrazophos,,,X,,
Pyrethrins,,X,X,X,X
Pyributicarb,,,X,,
Pyridaben,,,X,,
Pyridaphenthion,,,X,,
Pyrifenox,,,X,,
Pyriftalid,,,X,,
Pyrimethanil,,X,X,X,X
Pyrimidifen,,,X,,
Pyriproxyfen,,X,X,X,X
Pyroquilon,,,X,,
Pyroxsulam,,,X,,
Quinalphos,,,X,,
Quinoclamine,,,X,,
Quinoxyfen,,,X,,
Quintozene,,X,X,X,X
Quizalofop-ethyl,,,X,,
Rimsulfuron,,,X,,
Saflufenacil,,,X,,
Sebuthylazine,,,X,,
Sethoxydim,,,X,,
Simazine,,,X,X,X
Simeconazole,,,X,,
Simetryn,,,X,,
Spinetoram,,,X,X,X
Spinosad,,X,X,X,X
Spiromesifen,,,X,,
Spiromesifen enol,,,X,,
Spirotetramat,,X,X,X,X
Spirotetramat-keto-hydroxy,,,X,X,
Spirotetramat-mono-hydroxy,,,X,X,
Spirotetramat enol,,,X,X,
Spirotetramat enol-glucoside,,,X,X,
Spiroxamine,,,X,,
Sulfentrazone,,,X,,
Sulprofos,,,X,,
Tebuconazole,,X,X,X,X
Tebufenozide,,X,X,X,X
Tebufenpyrad,X,X,X,X,X
Tebuthiuron,,,X,,
Tecnazene,,,X,,
Teflubenzuron,,,X,,
Tefluthrin,,,X,,
Temephos,,,X,,
Tepraloxydim,,,X,,
Terbacil,,,X,,
Terbufos,,X,X,X,X
Terbumeton,,,X,,
Terbuthylazine,,,X,,
Terbutryn,,,X,,
Tetrachlorvinphos,,,X,,
Tetraconazole,,,X,,
Tetradifon,,X,X,X,X
Tetrahydrophthalimide,,,X,,
Thenylchlor,,,X,,
Thiabendazole,,X,X,X,X
Thiacloprid,,X,X,X,X
Thiamethoxam,,X,X,X,X
Thiazopyr,,,X,,
Thidiazuron,,,X,,
Thiobencarb,,,X,,
Thiocyclam hydrogen oxalate,,,X,,
Thiometon,,,X,,
Tiadinil,,,X,,
Tolclofos-methyl,,,X,X,X
Tolylfluanid,,,X,,
Total DDD,X,,,,
Total DDE,X,,,,
Total DDT,X,,,,
Tralkoxydim,,,X,,
trans-Chlorfenvinphos,X,,,,
Transfluthrin,,,X,,
Tri-allate,,,X,,
Triadimefon,X,X,X,X,X
Triadimenol,,X,X,X,X
Triasulfuron,,,X,,
Triazophos,,,X,,
Tribenuron-methyl,,,X,,
Tribufos,,,X,,
Trichlorfon,,X,X,X,X
Tricyclazole,,,X,,
Trifloxystrobin,,X,X,X,X
Trifloxysulfuron-sodium,,,X,,
Triflumizole,,,X,,
Triflumuron,,,X,,
Trifluralin,,,X,,
Triflusulfuron-methyl,,,X,,
Triforine,,,X,,
Triticonazole,,,X,,
Uniconazole-P,,,X,,
Vamidothion,,,X,X,X
Vinclozolin,,X,X,X,X
XMC,,,X,,
Zoxamide,,,X,,
